Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
16-Oct-2008,1450.0,15-Oct-2008,1520.2,14-Jan-2008,3220.85
17-Oct-2008,1400.0,16-Oct-2008,1391.95,14-Jan-2008,3220.85
20-Oct-2008,1329.95,17-Oct-2008,1306.05,14-Jan-2008,3220.85
21-Oct-2008,1350.0,17-Oct-2008,1306.05,14-Jan-2008,3220.85
22-Oct-2008,1372.55,17-Oct-2008,1306.05,14-Jan-2008,3220.85
23-Oct-2008,1271.0,17-Oct-2008,1306.05,14-Jan-2008,3220.85
24-Oct-2008,1200.0,23-Oct-2008,1217.65,14-Jan-2008,3220.85
27-Oct-2008,1027.15,24-Oct-2008,1019.5,14-Jan-2008,3220.85
28-Oct-2008,1170.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
29-Oct-2008,1200.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
31-Oct-2008,1264.95,24-Oct-2008,1019.5,14-Jan-2008,3220.85
03-Nov-2008,1439.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
04-Nov-2008,1450.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
05-Nov-2008,1505.2,24-Oct-2008,1019.5,14-Jan-2008,3220.85
06-Nov-2008,1199.7,24-Oct-2008,1019.5,14-Jan-2008,3220.85
07-Nov-2008,1173.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
10-Nov-2008,1250.3,24-Oct-2008,1019.5,14-Jan-2008,3220.85
11-Nov-2008,1280.1,24-Oct-2008,1019.5,14-Jan-2008,3220.85
12-Nov-2008,1200.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
14-Nov-2008,1189.4,24-Oct-2008,1019.5,14-Jan-2008,3220.85
17-Nov-2008,1150.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
18-Nov-2008,1102.05,24-Oct-2008,1019.5,14-Jan-2008,3220.85
19-Nov-2008,1151.25,24-Oct-2008,1019.5,14-Jan-2008,3220.85
20-Nov-2008,1085.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
21-Nov-2008,1065.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
24-Nov-2008,1176.55,24-Oct-2008,1019.5,14-Jan-2008,3220.85
25-Nov-2008,1170.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
