Date,MinMax_Feature
14-Aug-2012,0.4993300580616345
16-Aug-2012,0.5625279142474316
17-Aug-2012,0.6333184457347029
21-Aug-2012,0.6248325145154087
22-Aug-2012,0.5944618133095133
23-Aug-2012,0.600491290754801
24-Aug-2012,0.5165252344796784
27-Aug-2012,0.4908441268423403
28-Aug-2012,0.4946404644930773
29-Aug-2012,0.5131755247878517
30-Aug-2012,0.46292987941045105
31-Aug-2012,0.4640464493077266
03-Sep-2012,0.4104510942384993
04-Sep-2012,0.39236266190263525
05-Sep-2012,0.44283162125949077
06-Sep-2012,0.4028584189370252
07-Sep-2012,0.45824028584189386
08-Sep-2012,0.5243412237606073
10-Sep-2012,0.5533720410897722
11-Sep-2012,0.5064761054041983
12-Sep-2012,0.5243412237606073
13-Sep-2012,0.5448861098704779
